Labels,Title,State,Date,Last Update,Closed,URL
,Switch to SSD base disks for user nodes,open,2019-10-22,2019-10-23,,https://github.com/berkeley-dsep-infra/datahub/issues/1126
,data100 hub logs filling up hub disk,open,2019-10-22,2019-10-22,,https://github.com/berkeley-dsep-infra/datahub/issues/1125
support,Upgrade k8s to patch new security issues,open,2019-10-18,2019-10-18,,https://github.com/berkeley-dsep-infra/datahub/issues/1124
support,Need more RAM for connector course,closed,2019-10-15,2019-10-15,2019-10-15,https://github.com/berkeley-dsep-infra/datahub/issues/1113
support,Request python package otter-grader for class Data 88,closed,2019-10-09,2019-10-12,2019-10-12,https://github.com/berkeley-dsep-infra/datahub/issues/1108
support,"Request R package ""car"" for class EEP 1118 on R Hub",closed,2019-10-08,2019-10-15,2019-10-15,https://github.com/berkeley-dsep-infra/datahub/issues/1103
support,"Request two python packages for ""Physics 188/288""",closed,2019-10-03,2019-10-09,2019-10-08,https://github.com/berkeley-dsep-infra/datahub/issues/1073
support,Create github account for use by circleci to deal with github api access limits,open,2019-09-20,2019-09-20,,https://github.com/berkeley-dsep-infra/datahub/issues/1048
,Possibly ephemeral I/O issue,closed,2019-09-17,2019-09-18,2019-09-18,https://github.com/berkeley-dsep-infra/datahub/issues/1034
support,Request python package simpleaudio for EPS 109 ,closed,2019-09-16,2019-09-16,2019-09-16,https://github.com/berkeley-dsep-infra/datahub/issues/1030
support,Update python package 'datascience' for Data 8 to 0.15.1,closed,2019-09-16,2019-09-16,2019-09-16,https://github.com/berkeley-dsep-infra/datahub/issues/1023
,ERROR  | auth.py:91 | {'error': 'invalid_grant'},closed,2019-09-15,2019-09-15,2019-09-15,https://github.com/berkeley-dsep-infra/datahub/issues/1022
,Sponsored guests accounts merge on same email prefix,closed,2019-09-13,2019-09-14,2019-09-14,https://github.com/berkeley-dsep-infra/datahub/issues/1016
support,"Request python package ""hdbscan"" for ""Physics 188/288""",closed,2019-09-13,2019-09-17,2019-09-17,https://github.com/berkeley-dsep-infra/datahub/issues/1015
support,"Request python package ""scikit-learn (latest version; v0.21)"" for ""Physics 188/288""",closed,2019-09-12,2019-09-14,2019-09-14,https://github.com/berkeley-dsep-infra/datahub/issues/1011
support,Request R packages for class PH142,closed,2019-09-11,2019-09-20,2019-09-20,https://github.com/berkeley-dsep-infra/datahub/issues/1002
support,"Request python package ""umap"" for ""Physics 188/288"" + resource request",closed,2019-09-11,2019-10-03,2019-10-03,https://github.com/berkeley-dsep-infra/datahub/issues/1001
support,Get JupyterHub admin access for Data8X hub,closed,2019-09-10,2019-09-17,2019-09-17,https://github.com/berkeley-dsep-infra/datahub/issues/1000
,Unable to delete nonempty folders,closed,2019-09-09,2019-09-10,2019-09-10,https://github.com/berkeley-dsep-infra/datahub/issues/998
support,Request python package csaps for class Data 88,closed,2019-08-28,2019-08-28,2019-08-28,https://github.com/berkeley-dsep-infra/datahub/issues/967
,Demonstration Hub ,closed,2019-08-27,2019-10-08,2019-10-08,https://github.com/berkeley-dsep-infra/datahub/issues/966
,Fix Download as PDF options,open,2019-08-27,2019-08-27,,https://github.com/berkeley-dsep-infra/datahub/issues/965
support,Physics 188/288 setup for Jupyterhub,open,2019-08-26,2019-08-28,,https://github.com/berkeley-dsep-infra/datahub/issues/962
support,Admin Access for Data 8 Tutors,closed,2019-08-26,2019-08-28,2019-08-28,https://github.com/berkeley-dsep-infra/datahub/issues/961
,Need key/secret for MCB 200,open,2019-08-23,2019-08-24,,https://github.com/berkeley-dsep-infra/datahub/issues/956
support,Request python package seaborn==0.9.0 for class Data 100 and Stats MA Summer Bridge,closed,2019-08-23,2019-08-28,2019-08-28,https://github.com/berkeley-dsep-infra/datahub/issues/955
support,Request python package xarray for class EPS24,closed,2019-08-23,2019-08-28,2019-08-28,https://github.com/berkeley-dsep-infra/datahub/issues/954
,Disable external hub deployment,closed,2019-08-23,2019-08-23,2019-08-23,https://github.com/berkeley-dsep-infra/datahub/issues/951
support,Request python package chart_studio for class Data 88,closed,2019-08-22,2019-08-22,2019-08-22,https://github.com/berkeley-dsep-infra/datahub/issues/942
support,Request python package gradable-nbexport for class Data 88,closed,2019-08-18,2019-08-22,2019-08-22,https://github.com/berkeley-dsep-infra/datahub/issues/930
support,Request python package pyreadstat for class SW 282,closed,2019-08-17,2019-08-22,2019-08-22,https://github.com/berkeley-dsep-infra/datahub/issues/929
support,"Request R package here, rlist, checkr for class PHW250FG",closed,2019-08-12,2019-08-13,2019-08-13,https://github.com/berkeley-dsep-infra/datahub/issues/922
support,Request python package plotly for class Data 88,closed,2019-08-06,2019-08-06,2019-08-06,https://github.com/berkeley-dsep-infra/datahub/issues/912
support,Request R package rdd for class IAS C118,closed,2019-07-31,2019-07-31,2019-07-31,https://github.com/berkeley-dsep-infra/datahub/issues/897
support,Admin access for PH250WF+PH250WG instructors,closed,2019-07-23,2019-08-13,2019-08-13,https://github.com/berkeley-dsep-infra/datahub/issues/882
support,Request R packages for class PHW250F+G for r.datahub,closed,2019-07-23,2019-07-26,2019-07-26,https://github.com/berkeley-dsep-infra/datahub/issues/881
support,Request python okpy client for RStudio for PHW250FG on r.datahub,closed,2019-07-23,2019-07-26,2019-07-26,https://github.com/berkeley-dsep-infra/datahub/issues/880
,Using datahub from bCourses.,closed,2019-07-23,2019-07-23,2019-07-23,https://github.com/berkeley-dsep-infra/datahub/issues/879
,Create an image just for Data 8,open,2019-07-22,2019-07-22,,https://github.com/berkeley-dsep-infra/datahub/issues/877
,Make docker images more public,open,2019-07-22,2019-07-22,,https://github.com/berkeley-dsep-infra/datahub/issues/876
support,Request python package wordcloud for class Global 150Q/PACS 190,closed,2019-07-22,2019-07-26,2019-07-26,https://github.com/berkeley-dsep-infra/datahub/issues/875
,Logins with full Berkeley email insead of username,closed,2019-07-18,2019-07-19,2019-07-19,https://github.com/berkeley-dsep-infra/datahub/issues/842
,"Datahub ""Unknown error"" when accessing notebooks",open,2019-07-18,2019-08-01,,https://github.com/berkeley-dsep-infra/datahub/issues/840
,Large shared datasets,open,2019-07-15,2019-08-01,,https://github.com/berkeley-dsep-infra/datahub/issues/827
,Document Oauth setup,open,2019-07-11,2019-07-11,,https://github.com/berkeley-dsep-infra/datahub/issues/823
support,Can't pull in ds-modules/MCB-32 using interact link,closed,2019-07-11,2019-07-12,2019-07-12,https://github.com/berkeley-dsep-infra/datahub/issues/820
support,Request R package stargazer lm.beta multcomp lfe for class IAS C118 SUMMER 2019,closed,2019-07-10,2019-07-11,2019-07-11,https://github.com/berkeley-dsep-infra/datahub/issues/814
,Azure set up for fall 2019,closed,2019-07-05,2019-08-06,2019-08-06,https://github.com/berkeley-dsep-infra/datahub/issues/803
,"Stuck kernels, blank notebooks",open,2019-07-05,2019-09-01,,https://github.com/berkeley-dsep-infra/datahub/issues/802
support,Request python package datascience==0.13.5 for class Data 8 summer 2019,closed,2019-07-05,2019-07-08,2019-07-08,https://github.com/berkeley-dsep-infra/datahub/issues/801
,jupyter nbextension enable --py gmaps  isn't working!,closed,2019-07-05,2019-07-05,2019-07-05,https://github.com/berkeley-dsep-infra/datahub/issues/800
,"pods per node, pod resource requests",open,2019-07-03,2019-07-03,,https://github.com/berkeley-dsep-infra/datahub/issues/797
,Moving from Google Authenticator to Canvas Authenticator for all hubs,open,2019-07-01,2019-07-05,,https://github.com/berkeley-dsep-infra/datahub/issues/787
,Install voila package on datahub,open,2019-06-27,2019-08-28,,https://github.com/berkeley-dsep-infra/datahub/issues/784
support,Request python package mcautograder for class Data 88,closed,2019-06-26,2019-07-08,2019-07-08,https://github.com/berkeley-dsep-infra/datahub/issues/783
,Outdated dplyr package causing error in summarize,closed,2019-06-21,2019-06-21,2019-06-21,https://github.com/berkeley-dsep-infra/datahub/issues/774
,Write RStudio add-in to display memory usage,open,2019-06-19,2019-06-19,,https://github.com/berkeley-dsep-infra/datahub/issues/764
support,Request R package haven for class EEp 118,closed,2019-06-17,2019-06-17,2019-06-17,https://github.com/berkeley-dsep-infra/datahub/issues/755
,Cannot download multiple files from root,open,2019-06-15,2019-06-16,,https://github.com/berkeley-dsep-infra/datahub/issues/753
support,QGrid nbextension not enabled,closed,2019-06-15,2019-06-17,2019-06-17,https://github.com/berkeley-dsep-infra/datahub/issues/752
support,Update python package datascience for Data 8,closed,2019-06-14,2019-06-14,2019-06-14,https://github.com/berkeley-dsep-infra/datahub/issues/749
support,install sympy package,closed,2019-06-11,2019-06-12,2019-06-12,https://github.com/berkeley-dsep-infra/datahub/issues/743
,Update to matplotlib 3.1.0,closed,2019-06-08,2019-06-09,2019-06-09,https://github.com/berkeley-dsep-infra/datahub/issues/740
,Hist and Table Read are not happy,closed,2019-06-04,2019-06-05,2019-06-05,https://github.com/berkeley-dsep-infra/datahub/issues/738
support,Install Cartopy for EPS 88,closed,2019-05-29,2019-06-01,2019-05-31,https://github.com/berkeley-dsep-infra/datahub/issues/732
,Make an R hub,closed,2019-05-23,2019-06-18,2019-06-18,https://github.com/berkeley-dsep-infra/datahub/issues/729
,Cleanup datahub image,open,2019-05-22,2019-05-23,,https://github.com/berkeley-dsep-infra/datahub/issues/725
support,Install ffmpeg package,closed,2019-05-22,2019-05-30,2019-05-30,https://github.com/berkeley-dsep-infra/datahub/issues/724
,Run hub for iSchool's W207 (Intro to Applied Machine Learning),open,2019-05-20,2019-05-21,,https://github.com/berkeley-dsep-infra/datahub/issues/723
,Run hub for Ischool's W203 (Statistics for Data Science),open,2019-05-07,2019-08-16,,https://github.com/berkeley-dsep-infra/datahub/issues/707
,Run hub for iSchool w241 (Experiments and Casual Inference),open,2019-05-07,2019-06-18,,https://github.com/berkeley-dsep-infra/datahub/issues/705
,Run hub for iSchool W266 (NLP),open,2019-05-07,2019-05-23,,https://github.com/berkeley-dsep-infra/datahub/issues/702
,Connect with instructional designer at DLS for Canvas conversion,closed,2019-04-30,2019-06-20,2019-06-20,https://github.com/berkeley-dsep-infra/datahub/issues/663
,Figure out how to have multiple people working on this repo concurrently safely,open,2019-04-30,2019-05-02,,https://github.com/berkeley-dsep-infra/datahub/issues/660
,Move datahub gofer-grader from a separate VM to kubernetes,open,2019-04-30,2019-04-30,,https://github.com/berkeley-dsep-infra/datahub/issues/659
,Request to have two packages installed on the dataHub,open,2019-04-27,2019-08-23,,https://github.com/berkeley-dsep-infra/datahub/issues/653
,Set up a hub for Genomics Class,closed,2019-04-25,2019-06-06,2019-06-06,https://github.com/berkeley-dsep-infra/datahub/issues/648
,Econ172 looking for ivpack or AER,closed,2019-04-23,2019-04-23,2019-04-23,https://github.com/berkeley-dsep-infra/datahub/issues/643
,Update TensorFlow to support the official tutorial,open,2019-04-22,2019-04-22,,https://github.com/berkeley-dsep-infra/datahub/issues/642
,Run hub for ISchool's W261,open,2019-04-20,2019-05-21,,https://github.com/berkeley-dsep-infra/datahub/issues/637
,Run a hub that integrates with bcourses,closed,2019-04-20,2019-07-04,2019-07-04,https://github.com/berkeley-dsep-infra/datahub/issues/636
,Keeping up with z2jh upgrades,open,2019-04-16,2019-04-18,,https://github.com/berkeley-dsep-infra/datahub/issues/635
,Reduce number of 302s from JupyterHub,open,2019-04-09,2019-04-09,,https://github.com/berkeley-dsep-infra/datahub/issues/628
,RStudio server not starting,closed,2019-04-02,2019-04-03,2019-04-03,https://github.com/berkeley-dsep-infra/datahub/issues/616
,500: Internal Server Error logging into datahub,closed,2019-03-31,2019-04-06,2019-04-06,https://github.com/berkeley-dsep-infra/datahub/issues/613
,400 : Bad Request OAuth state missing from cookies,closed,2019-03-30,2019-03-30,2019-03-30,https://github.com/berkeley-dsep-infra/datahub/issues/611
,Current Theano incompatible with current NumPy,open,2019-03-28,2019-04-11,,https://github.com/berkeley-dsep-infra/datahub/issues/608
,Document datahub usage analysis notebooks,open,2019-03-26,2019-03-28,,https://github.com/berkeley-dsep-infra/datahub/issues/605
,Collect and store operational metrics for our deployments,open,2019-03-15,2019-03-15,,https://github.com/berkeley-dsep-infra/datahub/issues/597
,Evaluate secret management options for this repository,open,2019-03-11,2019-06-14,,https://github.com/berkeley-dsep-infra/datahub/issues/596
,Give Jon Felder DNS access,closed,2019-02-26,2019-02-26,2019-02-26,https://github.com/berkeley-dsep-infra/datahub/issues/577
,Secure Data,open,2019-02-22,2019-02-25,,https://github.com/berkeley-dsep-infra/datahub/issues/573
,Provide extra RAM for module developers,open,2019-02-06,2019-02-06,,https://github.com/berkeley-dsep-infra/datahub/issues/557
,Notebook cannot connect to julia kernel,closed,2019-02-02,2019-03-11,2019-03-11,https://github.com/berkeley-dsep-infra/datahub/issues/551
process,Handle student information securely during support requests,open,2019-02-02,2019-02-02,,https://github.com/berkeley-dsep-infra/datahub/issues/550
support,DNS entries for external hub,closed,2019-02-01,2019-02-01,2019-02-01,https://github.com/berkeley-dsep-infra/datahub/issues/539
process,Set up process for keeping up to date list of classes using various hubs,open,2019-02-01,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/537
documentation,Document deploying a change,open,2019-02-01,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/536
documentation,Document adding DNS entries,closed,2019-02-01,2019-02-01,2019-02-01,https://github.com/berkeley-dsep-infra/datahub/issues/535
documentation,Document setting up new hub,open,2019-02-01,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/534
process,Coordinating merges from staging->prod for support issues,open,2019-01-31,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/528
support,Add zoey & alan as admins to datahub,closed,2019-01-31,2019-06-20,2019-06-20,https://github.com/berkeley-dsep-infra/datahub/issues/527
support,Gain JupyterHub admin access for data 8X hub,closed,2019-01-30,2019-02-21,2019-02-21,https://github.com/berkeley-dsep-infra/datahub/issues/518
automation,Test that built notebook runs in CI,open,2019-01-29,2019-02-01,,https://github.com/berkeley-dsep-infra/datahub/issues/510
support,Extra memory for Astr 128 and 256,closed,2019-01-29,2019-04-08,2019-04-08,https://github.com/berkeley-dsep-infra/datahub/issues/508
support,Extra Memory for LS 88,closed,2019-01-28,2019-06-26,2019-06-26,https://github.com/berkeley-dsep-infra/datahub/issues/505
,data100 user timeouts ,closed,2019-01-23,2019-02-01,2019-02-01,https://github.com/berkeley-dsep-infra/datahub/issues/480
,Try set up a different image / hub for R,closed,2019-01-23,2019-06-26,2019-06-26,https://github.com/berkeley-dsep-infra/datahub/issues/479
automation,Automate using class rosters for resource differentiation,open,2019-01-23,2019-05-01,,https://github.com/berkeley-dsep-infra/datahub/issues/476
,Set up gofer-grader for data8x,closed,2019-01-23,2019-02-01,2019-02-01,https://github.com/berkeley-dsep-infra/datahub/issues/475
,Setup data8x hub on this repo,closed,2019-01-22,2019-02-02,2019-02-02,https://github.com/berkeley-dsep-infra/datahub/issues/459
,Line magic function errors,closed,2019-01-17,2019-01-17,2019-01-17,https://github.com/berkeley-dsep-infra/datahub/issues/446
